anime_ids	name	type	episodes	rating	members	Sci-Fi	Romance	Action	Seinen	Drama	Shounen	Comedy	Shoujo	Fantasy	Adventure
158	Natsume Yuujinchou Shi	TV	13	8.75	98431	0	0	0	0	1	0	0	1	1	0
27	Howl no Ugoku Shiro	Movie	1	8.74	333186	0	1	0	0	1	0	0	0	1	1
865	Fate/Zero 2nd Season	TV	12	8.73	340973	0	0	1	0	0	0	0	0	1	0
5586	Kizumonogatari II: Nekketsu-hen	Movie	1	8.73	34347	0	0	1	0	0	0	0	0	0	0
384	Monster	TV	74	8.72	247562	0	0	0	1	1	0	0	0	0	0
165	Bakuman. 3rd Season	TV	25	8.71	133620	0	1	0	0	1	1	1	0	0	0
2923	Gintama°: Aizome Kaori-hen	OVA	2	8.69	16947	0	0	0	0	0	0	1	0	0	0
1441	Ansatsu Kyoushitsu (TV) 2nd Season	TV	25	8.68	176475	0	0	1	0	0	1	1	0	0	0
229	Haikyuu!!	TV	25	8.68	284498	0	0	0	0	1	1	1	0	0	0
956	Hajime no Ippo: Rising	TV	25	8.68	66756	0	0	0	0	1	1	1	0	0	0
724	Kara no Kyoukai 5: Mujun Rasen	Movie	1	8.68	111074	0	1	1	0	1	0	0	0	0	0
145	Natsume Yuujinchou San	TV	13	8.67	102322	0	0	0	0	1	0	0	1	1	0
972	Ping Pong The Animation	TV	11	8.67	97187	0	0	0	1	0	0	0	0	0	0
240	Mushishi Special: Hihamukage	Special	1	8.66	49036	0	0	0	1	0	0	0	0	1	1
1320	Boku dake ga Inai Machi	TV	12	8.65	402381	0	0	0	1	0	0	0	0	0	0
792	Yojouhan Shinwa Taikei	TV	11	8.65	122531	0	1	0	0	0	0	0	0	0	0
2566	Aria The Origination	TV	13	8.64	56162	1	0	0	0	0	1	0	0	1	0
2910	Kamisama Hajimemashita: Kako-hen	OVA	4	8.64	33422	0	0	0	0	0	0	1	1	1	0
754	Rainbow: Nisha Rokubou no Shichinin	TV	26	8.64	139474	0	0	0	1	1	0	0	0	0	0
1541	Re:Zero kara Hajimeru Isekai Seikatsu	TV	25	8.64	355839	0	0	0	0	1	0	0	0	1	0
726	Tengen Toppa Gurren Lagann Movie: Lagann-hen	Movie	1	8.64	82253	1	0	1	0	0	0	0	0	0	0
84	Zoku Natsume Yuujinchou	TV	13	8.64	114173	0	0	0	0	1	0	0	1	1	0
138	Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.	TV	11	8.62	463835	0	0	0	0	1	0	0	0	0	0
267	Kuroko no Basket 3rd Season	TV	25	8.62	184525	0	0	0	0	0	1	1	0	0	0
1121	Steins;Gate Movie: Fuka Ryouiki no Déjà vu	Movie	1	8.61	192424	1	0	0	0	0	0	0	0	0	0
148	Hotarubi no Mori e	Movie	1	8.61	197439	0	1	0	0	1	0	0	1	0	0
287	Shokugeki no Souma	TV	24	8.61	348951	0	0	0	0	0	1	0	0	0	0
3301	Gintama: Yorinuki Gintama-san on Theater 2D	Movie	2	8.6	11104	1	0	1	0	0	1	1	0	0	0
1316	JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season	TV	24	8.6	93657	0	0	1	0	1	1	0	0	0	1
1577	Gintama Movie: Shinyaku Benizakura-hen	Movie	1	8.59	51185	1	0	1	0	0	1	1	0	0	0
441	Hellsing Ultimate	OVA	10	8.59	297454	0	0	1	1	0	0	0	0	0	0
257	Kiseijuu: Sei no Kakuritsu	TV	24	8.59	425457	1	0	1	1	1	0	0	0	0	0
1434	Shouwa Genroku Rakugo Shinjuu	TV	13	8.59	71295	0	0	0	0	1	0	0	0	0	0
2987	Uchuu Kyoudai	TV	99	8.59	72958	1	0	0	1	0	0	1	0	0	0
292	Bakemono no Ko	Movie	1	8.58	80825	0	0	0	0	0	0	0	0	0	1
389	Hotaru no Haka	Movie	1	8.58	174878	0	0	0	0	1	0	0	0	0	0
209	Kuroko no Basket 2nd Season	TV	25	8.58	243325	0	0	0	0	0	1	1	0	0	0
1079	Major S5	TV	25	8.58	28653	0	1	0	0	1	0	1	0	0	0
1206	Ghost in the Shell: Stand Alone Complex 2nd GIG	TV	26	8.57	113993	1	0	1	1	0	0	0	0	0	0
742	Kara no Kyoukai 7: Satsujin Kousatsu (Kou)	Movie	1	8.57	95658	0	1	1	0	0	0	0	0	0	0
939	Kingdom 2nd Season	TV	39	8.57	31234	0	0	1	1	0	0	0	0	0	0
579	Slam Dunk	TV	101	8.56	82570	0	0	0	0	1	1	1	0	0	0
328	Mob Psycho 100	TV	12	8.55	193716	0	0	1	0	0	0	1	0	0	0
39	Nana	TV	47	8.55	197256	0	1	0	0	1	0	1	1	0	0
678	Baccano!	TV	13	8.54	363215	0	0	1	1	0	0	1	0	0	0
985	Mushishi Zoku Shou: Odoro no Michi	Special	1	8.54	34011	0	0	0	1	0	0	0	0	1	1
202	Shingeki no Kyojin	TV	25	8.54	896229	0	0	1	0	1	1	0	0	1	0
139	Bakuman. 2nd Season	TV	25	8.53	151561	0	1	0	0	1	1	1	0	0	0
1086	Cross Game	TV	50	8.53	53108	0	1	0	0	1	0	1	0	0	0
3110	Doukyuusei (Movie)	Movie	1	8.53	28864	0	1	0	0	0	0	0	0	0	0
540	Evangelion: 2.0 You Can (Not) Advance	Movie	1	8.53	182224	1	0	1	0	0	0	0	0	0	0
170	Shinsekai yori	TV	25	8.53	288376	1	0	0	0	1	0	0	0	0	0
1824	Uchuu Senkan Yamato 2199	OVA	26	8.53	44223	1	0	1	0	1	0	0	0	0	0
180	Chihayafuru 2	TV	25	8.52	86074	0	0	0	0	1	0	0	0	0	0
376	Fate/Zero	TV	13	8.51	453630	0	0	1	0	0	0	0	0	1	0
911	JoJo no Kimyou na Bouken (TV)	TV	26	8.51	190197	0	0	1	0	0	1	0	0	0	1
135	Mahou Shoujo Madoka★Magica	TV	12	8.51	462974	0	0	0	0	1	0	0	0	0	0
403	Nichijou	TV	26	8.52	254436	0	0	0	0	0	0	1	0	0	0
173	Psycho-Pass	TV	22	8.5	509109	1	0	1	0	0	0	0	0	0	0
1385	Barakamon	TV	12	8.5	225927	0	0	0	0	0	0	1	0	0	0
1160	Diamond no Ace: Second Season	TV	51	8.5	38531	0	0	0	0	0	1	1	0	0	0
214	Magi: The Kingdom of Magic	TV	25	8.5	245026	0	0	1	0	0	1	0	0	1	1
411	Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari	Movie	1	8.5	135735	0	0	0	0	1	0	0	0	0	0
1124	Major: World Series	OVA	2	8.5	13405	0	0	0	0	1	0	1	0	0	0
533	Samurai Champloo	TV	26	8.5	390076	0	0	1	0	0	1	1	0	0	1
329	Shokugeki no Souma: Ni no Sara	TV	13	8.5	185015	0	0	0	0	0	1	0	0	0	0
99	Katanagatari	TV	12	8.49	207241	0	1	1	0	0	0	0	0	0	1
1591	Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari	Movie	1	8.49	85361	0	0	0	0	1	0	0	0	0	0
1094	Major S6	TV	25	8.49	24788	0	0	0	0	1	0	1	0	0	0
1469	Mononoke	TV	12	8.49	88850	0	0	0	1	0	0	0	0	1	0
1865	Shirobako	TV	24	8.49	146895	0	0	0	0	1	0	1	0	0	0
1063	Ashita no Joe 2	TV	47	8.48	6259	0	0	0	0	1	0	0	0	0	0
575	Hunter x Hunter	TV	62	8.48	166255	0	0	1	0	0	1	0	0	0	1
307	Noragami Aragoto	TV	13	8.48	299434	0	0	1	0	0	1	0	0	0	1
166	Sakamichi no Apollon	TV	12	8.48	146592	0	1	0	0	1	0	0	0	0	0
32	Tonari no Totoro	Movie	1	8.48	271484	0	0	0	0	0	0	1	0	0	1
388	Ghost in the Shell: Stand Alone Complex	TV	26	8.47	194491	1	0	1	1	0	0	0	0	0	0
34	Kaze no Tani no Nausicaä	Movie	1	8.47	143273	0	0	0	0	0	0	0	0	1	1
224	No Game No Life	TV	12	8.47	602291	0	0	0	0	0	0	1	0	1	1
4313	Romeo no Aoi Sora	TV	33	8.47	15074	0	0	0	0	1	0	0	0	0	1
1887	Yuu☆Yuu☆Hakusho	TV	112	8.47	195017	0	0	1	0	0	1	1	0	1	0
1757	Kino no Tabi: The Beautiful World	TV	13	8.46	102822	0	0	1	0	0	0	0	0	0	1
160	Kuroko no Basket	TV	25	8.46	338315	0	0	0	0	0	1	1	0	0	0
2294	Nodame Cantabile	TV	23	8.46	157025	0	1	0	0	1	0	1	0	0	0
370	Ookami to Koushinryou II	TV	12	8.46	210491	0	1	0	0	0	0	0	0	1	1
1306	Shingeki no Kyojin: Kuinaki Sentaku	OVA	2	8.45	92543	0	0	1	0	0	0	0	1	1	0
1117	Steins;Gate: Oukoubakko no Poriomania	Special	1	8.46	159548	1	0	0	0	0	0	0	0	0	0
1158	Fate/stay night: Unlimited Blade Works 2nd Season	TV	13	8.45	205987	0	0	1	0	0	1	0	0	1	0
3444	Kemono no Souja Erin	TV	50	8.45	36751	0	0	0	0	1	0	0	0	1	0
532	Neon Genesis Evangelion: The End of Evangelion	Movie	1	8.45	215630	1	0	0	0	1	0	0	0	0	0
76	Toradora!	TV	25	8.45	633817	0	1	0	0	0	0	1	0	0	0
560	Toki wo Kakeru Shoujo	Movie	1	8.44	289206	1	1	0	0	1	0	0	0	0	1
689	Tsubasa: Tokyo Revelations	OVA	3	8.44	57963	0	1	1	0	1	1	0	0	1	1
1986	Owarimonogatari	TV	12	8.43	107855	0	0	0	0	0	0	1	0	0	0
14	Rurouni Kenshin: Meiji Kenkaku Romantan	TV	94	8.43	218928	0	1	1	0	0	0	1	0	0	1
681	Stranger: Mukou Hadan	Movie	1	8.43	125503	0	0	1	0	0	0	0	0	0	1
2174	Detective Conan Movie 06: The Phantom of Baker Street	Movie	1	8.42	28462	0	0	0	0	0	1	0	0	0	1
1148	Fate/stay night: Unlimited Blade Works	TV	12	8.42	267484	0	0	1	0	0	1	0	0	1	0
1033	Major S1	TV	26	8.42	41061	0	0	0	0	1	1	1	0	0	0
1256	Nanatsu no Taizai	TV	24	8.42	331627	0	0	1	0	0	1	0	0	1	1
74	Natsume Yuujinchou	TV	13	8.42	210736	0	0	0	0	1	0	0	1	1	0
719	One Piece Film: Strong World	Movie	1	8.42	85020	0	0	1	0	1	1	1	0	1	1
1011	Hunter x Hunter OVA	OVA	8	8.41	53168	0	0	1	0	0	1	0	0	0	1
1013	Hunter x Hunter: Greed Island Final	OVA	14	8.41	55787	0	0	1	0	0	1	0	0	0	1
1423	Kuroshitsuji: Book of Murder	OVA	2	8.41	67261	0	0	0	0	0	1	1	0	1	0
1032	Major S2	TV	26	8.41	30689	0	0	0	0	1	1	1	0	0	0
1081	One Outs	TV	25	8.41	83056	0	0	0	1	0	0	0	0	0	0
1484	Beck	TV	26	8.4	148328	0	0	0	0	1	1	1	0	0	0
1935	Berserk	TV	25	8.4	226430	0	1	1	1	1	0	0	0	1	1
530	Cowboy Bebop: Tengoku no Tobira	Movie	1	8.4	137636	1	0	1	0	1	0	0	0	0	0
1055	Major S3	TV	26	8.4	29528	0	0	0	0	1	1	0	0	0	0
2055	Mobile Suit Gundam Unicorn	OVA	7	8.4	42076	1	0	1	0	1	0	0	0	0	0
963	Natsume Yuujinchou: Itsuka Yuki no Hi ni	OVA	1	8.4	28302	0	0	0	0	1	0	0	1	1	0
46	NHK ni Youkoso!	TV	24	8.4	291228	0	1	0	0	1	0	1	0	0	0
3073	Rose of Versailles	TV	40	8.4	32188	0	1	0	0	1	0	0	1	0	1
413	Sakurasou no Pet na Kanojo	TV	24	8.4	380375	0	1	0	0	1	0	1	0	0	0
9	Angel Beats!	TV	13	8.39	717796	0	0	1	0	1	0	1	0	0	0
369	Bakemonogatari	TV	15	8.39	482268	0	1	0	0	0	0	0	0	0	0
592	Hajime no Ippo: Champion Road	Special	1	8.39	47840	0	0	0	0	0	1	1	0	0	0
525	One Piece Film: Z	Movie	1	8.39	76051	0	0	1	0	1	1	1	0	1	1
37	Ouran Koukou Host Club	TV	26	8.39	422271	0	1	0	0	0	0	1	1	0	0
3141	Detective Conan Movie 13: The Raven Chaser	Movie	1	8.38	21798	0	0	1	0	0	1	0	0	0	0
103	Durarara!!	TV	24	8.38	556431	0	0	1	0	0	0	0	0	0	0
2417	Nodame Cantabile Finale	TV	11	8.38	67697	0	1	0	0	0	0	1	0	0	0
1939	Planetes	TV	26	8.38	105044	1	1	0	1	1	0	0	0	0	0
341	Shelter	Music	1	8.38	71136	1	0	0	0	0	0	0	0	0	0
31	Tenkuu no Shiro Laputa	Movie	1	8.38	151061	1	1	0	0	0	0	0	0	1	1
1575	Gintama: Shiroyasha Koutan	Special	1	8.37	27213	1	0	1	0	0	0	1	0	0	0
2292	Hachimitsu to Clover II	TV	12	8.37	61493	0	1	0	0	1	0	0	0	0	0
372	InuYasha: Kanketsu-hen	TV	26	8.37	99128	0	1	1	0	0	1	1	0	1	1
930	Kaguya-hime no Monogatari	Movie	1	8.37	45547	0	0	0	0	0	0	0	0	1	0
50	Katekyo Hitman Reborn!	TV	203	8.37	258103	0	0	1	0	0	1	1	0	0	0
251	Kuroshitsuji: Book of Circus	TV	10	8.37	122895	0	0	0	0	0	1	1	0	1	0
368	Ookami to Koushinryou	TV	13	8.37	334932	0	1	0	0	0	0	0	0	1	1
325	Boku no Hero Academia	TV	13	8.36	282002	0	0	1	0	0	1	1	0	0	0
1139	Gin no Saji 2nd Season	TV	11	8.36	67032	0	0	0	0	0	1	1	0	0	0
949	Little Busters!: Refrain	TV	13	8.36	71820	0	1	0	0	1	0	1	0	0	0
1106	Major: Message	OVA	1	8.36	12282	0	0	0	0	1	0	1	0	0	0
2680	Saint Seiya: The Lost Canvas - Meiou Shinwa 2	OVA	13	8.36	27532	0	0	1	0	0	1	0	0	0	1
1105	SKET Dance	TV	77	8.36	101027	0	0	0	0	0	1	1	0	0	0
115	Bakuman.	TV	25	8.35	246899	0	1	0	0	0	1	1	0	0	0
161	Danshi Koukousei no Nichijou	TV	12	8.35	258914	0	0	0	0	0	1	1	0	0	0
206	Kotonoha no Niwa	Movie	1	8.35	189741	0	1	0	0	1	0	0	0	0	0
995	Kyoukai no Kanata Movie: I&#039;ll Be Here - Mirai-hen	Movie	1	8.35	59815	0	0	0	0	0	0	0	0	1	0
1067	Major S4	TV	26	8.35	28002	0	0	0	0	1	1	1	0	0	0
967	Omoide no Marnie	Movie	1	8.35	53590	0	0	0	0	1	0	0	0	0	0
2123	Working!!!: Lord of the Takanashi	Special	1	8.34	31856	0	1	0	0	0	0	1	0	0	0
1263	Ghost in the Shell	Movie	1	8.34	223036	1	0	1	1	0	0	0	0	0	0
131	K-On! Movie	Movie	1	8.34	115252	0	0	0	0	0	0	1	0	0	0
1002	Kuroko no Basket: Saikou no Present Desu	Special	1	8.34	22900	0	0	1	0	0	1	0	0	0	0
2701	Mahou Shoujo Lyrical Nanoha: The Movie 2nd A&#039;s	Movie	1	8.34	13315	0	0	1	0	1	0	1	0	0	0
1992	Sennen Joyuu	Movie	1	8.34	58492	0	1	1	0	1	0	0	0	1	1
1720	Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero	Special	1	8.34	38147	1	0	0	0	0	0	0	0	0	0
697	xxxHOLiC Kei	TV	13	8.34	74941	0	0	0	0	1	0	1	0	0	0
1920	Berserk: Ougon Jidai-hen III - Kourin	Movie	1	8.33	65594	0	0	1	1	1	0	0	0	1	1
289	Death Parade	TV	12	8.33	383914	0	0	0	0	1	0	0	0	0	0
449	Fullmetal Alchemist	TV	51	8.33	600384	0	0	1	0	1	1	1	0	1	1
1471	Gyakkyou Burai Kaiji: Ultimate Survivor	TV	26	8.33	98996	0	0	0	1	0	0	0	0	0	0
1012	Hunter x Hunter: Greed Island	OVA	8	8.33	57029	0	0	1	0	0	1	0	0	0	1
1362	Redline	Movie	1	8.33	109392	1	0	1	0	0	0	0	0	0	0
151	Chihayafuru	TV	25	8.32	158561	0	0	0	0	1	0	0	0	0	0
6641	Detective Conan Movie 20: The Darkest Nightmare	Movie	1	8.32	6229	0	0	1	0	0	1	0	0	0	0
363	Dragon Ball Z	TV	291	8.32	375662	0	0	1	0	0	1	1	0	1	1
1156	Fate/stay night: Unlimited Blade Works - Prologue	Special	1	8.32	106382	0	0	1	0	0	1	0	0	1	0
1890	Kokoro ga Sakebitagatterunda.	Movie	1	8.32	59652	0	1	0	0	1	0	0	0	0	0
612	Mimi wo Sumaseba	Movie	1	8.32	94435	0	1	0	0	1	0	0	0	1	1
200	Nagi no Asukara	TV	26	8.32	224947	0	1	0	0	1	0	0	0	1	0
385	Neon Genesis Evangelion	TV	26	8.32	461946	1	0	1	0	1	0	0	0	0	0
5151	One Piece Film: Gold	Movie	1	8.32	18642	0	0	1	0	1	1	1	0	1	1
1762	Tokyo Godfathers	Movie	1	8.32	89424	0	0	0	0	1	0	1	0	0	0
359	Trigun	TV	26	8.32	283069	1	0	1	0	0	0	1	0	0	0
1584	Gintama: Shinyaku Benizakura-hen	Special	1	8.31	14002	1	0	1	0	0	1	1	0	0	0
1590	Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari	Movie	1	8.31	88164	0	0	0	0	1	0	0	0	0	0
407	Sekaiichi Hatsukoi 2	TV	12	8.31	69253	0	1	0	0	1	0	1	0	0	0
981	Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku	TV	13	8.31	222994	0	1	0	0	1	0	1	0	0	0
5277	Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA	OVA	1	8.31	35120	0	1	0	0	0	0	1	0	0	0
3082	Aria The Natural	TV	26	8.3	39596	1	0	0	0	0	1	0	0	1	0
1053	Black Lagoon: The Second Barrage	TV	12	8.3	203233	0	0	1	1	0	0	0	0	0	0
7	Clannad	TV	23	8.3	566690	0	1	0	0	1	0	1	0	0	0
933	Kami nomi zo Shiru Sekai: Megami-hen	TV	12	8.3	142612	0	1	0	0	0	1	1	0	0	0
88	Summer Wars	Movie	1	8.3	223359	1	0	0	0	0	0	1	0	0	0
713	Baccano! Specials	Special	3	8.29	100412	0	0	1	1	0	0	1	0	0	0
3142	Detective Conan Movie 14: The Lost Ship in the Sky	Movie	1	8.29	20602	0	0	1	0	0	1	0	0	0	0
1475	Gyakkyou Burai Kaiji: Hakairoku-hen	TV	26	8.29	55566	0	0	0	1	0	0	0	0	0	0
4341	Initial D Final Stage	TV	4	8.29	19702	0	0	0	1	0	0	0	0	0	0
2298	Kaiba	TV	12	8.29	56927	1	1	0	0	0	0	0	0	0	1
955	One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari	Special	1	8.29	17247	0	0	1	0	1	1	1	0	1	1
1198	Cardcaptor Sakura Movie 2: Fuuin Sareta Card	Movie	1	8.28	60637	0	1	0	0	1	0	1	1	1	0
593	Hajime no Ippo: Mashiba vs. Kimura	OVA	1	8.28	40623	0	0	0	0	0	1	1	0	0	0
275	Kamisama Hajimemashita◎	TV	12	8.28	91796	0	1	0	0	0	0	1	1	1	0
77	Skip Beat!	TV	25	8.28	134818	0	1	0	0	1	0	1	1	0	0
265	Yowamushi Pedal: Grande Road	TV	24	8.28	50778	0	0	0	0	1	1	1	0	0	0
1912	Gankutsuou	TV	24	8.27	103828	1	0	0	0	1	0	0	0	0	0
30	Majo no Takkyuubin	Movie	1	8.27	152331	0	1	0	0	1	0	1	0	1	1
2416	Nodame Cantabile: Paris-hen	TV	11	8.27	70822	0	1	0	0	0	0	1	0	0	0
916	One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna	Special	1	8.27	24707	0	0	1	0	1	1	1	0	1	1
2198	Osomatsu-san	TV	25	8.27	60988	0	0	0	0	0	0	1	0	0	0
1255	Space☆Dandy 2nd Season	TV	13	8.27	60918	1	0	0	0	0	0	1	0	0	0
1286	Tsumiki no Ie	Movie	1	8.27	45189	0	0	0	0	1	0	0	0	0	0
70	Detroit Metal City	OVA	12	8.26	104893	0	0	0	0	0	0	1	0	0	0
394	Eve no Jikan	ONA	6	8.26	99074	1	0	0	0	0	0	0	0	0	0
785	Eve no Jikan (Movie)	Movie	1	8.26	66376	1	0	0	0	0	0	0	0	0	0
108	Kaichou wa Maid-sama!	TV	26	8.26	391628	0	1	0	0	0	0	1	1	0	0
2374	Saint Seiya: Meiou Hades Juuni Kyuu-hen	OVA	13	8.26	23701	1	0	0	0	0	1	0	0	0	1
670	Darker than Black: Kuro no Keiyakusha	TV	25	8.25	440334	1	0	1	0	0	0	0	0	0	0
2173	Detective Conan Movie 05: Countdown to Heaven	Movie	1	8.25	25432	0	0	0	0	0	1	1	0	0	1
1137	Diamond no Ace	TV	75	8.25	81384	0	0	0	0	0	1	1	0	0	0
248	Fairy Tail (2014)	TV	102	8.25	255076	0	0	1	0	0	1	1	0	1	1
964	JoJo no Kimyou na Bouken: Stardust Crusaders	TV	24	8.25	120089	0	0	1	0	1	1	0	0	0	1
3776	Maison Ikkoku	TV	96	8.25	22079	0	1	0	0	1	0	1	0	0	0
1860	Non Non Biyori Repeat	TV	12	8.26	64230	0	0	0	1	0	0	1	0	0	0
654	Shijou Saikyou no Deshi Kenichi	TV	50	8.25	129112	0	0	1	0	0	1	1	0	0	0
3564	Yuusha-Ou GaoGaiGar Final	OVA	8	8.25	5001	1	0	0	0	1	1	0	0	0	1
261	Gekkan Shoujo Nozaki-kun	TV	12	8.24	292622	0	1	0	0	0	0	1	0	0	0
3512	Initial D Fourth Stage	TV	24	8.24	41584	0	0	1	1	1	0	0	0	0	0
395	Junjou Romantica 2	TV	12	8.24	87617	0	1	0	0	1	0	1	0	0	0
1378	Kaze Tachinu	Movie	1	8.24	75359	0	1	0	0	1	0	0	0	0	0
873	Kingdom	TV	38	8.24	54211	0	0	1	1	0	0	0	0	0	0
118	Kuragehime	TV	11	8.24	108053	0	0	0	0	0	0	1	0	0	0
182	Magi: The Labyrinth of Magic	TV	25	8.24	317513	0	0	1	0	0	1	0	0	1	1
1783	Mobile Suit Gundam 00	TV	25	8.24	120351	1	0	1	0	1	0	0	0	0	0
300	ReLIFE	TV	13	8.24	202249	0	1	0	0	0	0	0	0	0	0
2385	Saint Seiya: The Lost Canvas - Meiou Shinwa	OVA	13	8.24	40355	0	0	1	0	0	1	0	0	0	1
665	Seirei no Moribito	TV	26	8.24	106888	0	0	1	0	0	0	0	0	1	1
1261	Akatsuki no Yona	TV	24	8.23	216674	0	1	1	0	0	0	1	1	1	1
2176	Detective Conan Movie 08: Magician of the Silver Sky	Movie	1	8.23	23130	0	0	0	0	0	1	1	0	0	1
1429	Durarara!!x2 Ketsu	TV	12	8.23	115295	0	0	1	0	0	0	0	0	0	0
1155	Free!: Eternal Summer Special	Special	1	8.23	36091	0	0	0	0	0	0	1	0	0	0
4666	Glass no Kamen (2005)	TV	51	8.23	17038	0	0	0	0	1	0	0	1	0	0
374	Gosick	TV	24	8.23	232113	0	1	0	0	1	0	0	0	0	0
875	Hajime no Ippo: Boxer no Kobushi	Special	1	8.23	20157	0	0	0	0	1	1	1	0	0	0
1491	Initial D First Stage	TV	26	8.23	68128	0	0	1	1	1	0	0	0	0	0
427	Kill la Kill	TV	24	8.23	508118	0	0	1	0	0	0	1	0	0	0
1608	Lovely★Complex	TV	24	8.23	235003	0	1	0	0	0	0	1	1	0	0
1463	Perfect Blue	Movie	1	8.23	117565	0	0	0	0	1	0	0	0	0	0
2935	Princess Tutu	TV	38	8.23	73218	0	1	0	0	0	0	1	0	1	0
1371	Sakasama no Patema	Movie	1	8.23	89749	1	0	0	1	0	0	0	0	0	0
1799	Tsubasa: Shunraiki	OVA	2	8.23	40420	0	1	1	0	1	1	0	0	1	1
1059	Ashita no Joe	TV	79	8.22	15442	0	0	0	0	1	0	0	0	0	0
101	Fairy Tail	TV	175	8.22	584590	0	0	1	0	0	1	1	0	1	1
2512	Ghost in the Shell: Stand Alone Complex - Solid State Society	Special	1	8.22	55247	1	0	0	1	0	0	0	0	0	0
322	Magi: Sinbad no Bouken (TV)	TV	13	8.22	73480	0	0	1	0	0	1	0	0	1	1
2484	Shoujo Kakumei Utena	TV	39	8.22	77464	0	0	0	0	1	0	0	1	1	0
718	Tengen Toppa Gurren Lagann Movie: Gurren-hen	Movie	1	8.22	72933	0	0	1	0	0	0	1	0	0	0
2178	Detective Conan Movie 10: Requiem of the Detectives	Movie	1	8.21	21789	0	0	0	0	0	1	1	0	0	1
